elapsed, window, total, successful, failed
10.000053, 10.000053, 16959, 16959, 0
20.000033, 9.99998, 17181, 17181, 0
30.000031, 9.999998, 17804, 17804, 0
40.000033, 10.000002, 18172, 18172, 0
50.000041, 10.000008, 17439, 17439, 0
60.001014, 10.000973, 18169, 18169, 0
70.001009, 9.999995, 18390, 18390, 0
80.001032, 10.000023, 18843, 18843, 0
90.001006, 9.999974, 18058, 18058, 0
100.00104, 10.000034, 19017, 19017, 0
110.001009, 9.999969, 18946, 18946, 0
120.00104, 10.000031, 18474, 18474, 0
130.001006, 9.999966, 18682, 18682, 0
140.001029, 10.000023, 18694, 18694, 0
150.001002, 9.999973, 18538, 18538, 0
160.001067, 10.000065, 18507, 18507, 0
170.000033, 9.998966, 18633, 18633, 0
180.000054, 10.000021, 18220, 18220, 0
190.000059, 10.000005, 18070, 18070, 0
200.000033, 9.999974, 18172, 18172, 0
210.001011, 10.000978, 18730, 18730, 0
220.001008, 9.999997, 18523, 18523, 0
230.001056, 10.000048, 17846, 17846, 0
240.000031, 9.998975, 18253, 18253, 0
250.000076, 10.000045, 17903, 17903, 0
260.000082, 10.000006, 17818, 17818, 0
270.000039, 9.999957, 18219, 18219, 0
280.000044, 10.000005, 17543, 17543, 0
290.000029, 9.999985, 17370, 17370, 0
300.001016, 10.000987, 18253, 18253, 0
310.001039, 10.000023, 16386, 16386, 0
320.001028, 9.999989, 17462, 17462, 0
330.001015, 9.999987, 19177, 19177, 0
340.001028, 10.000013, 17961, 17961, 0
350.001008, 9.99998, 17256, 17256, 0
360.001015, 10.000007, 17599, 17599, 0
370.001057, 10.000042, 17341, 17341, 0
380.000028, 9.998971, 17832, 17832, 0
390.001008, 10.00098, 17619, 17619, 0
400.001015, 10.000007, 17374, 17374, 0
410.001025, 10.00001, 17733, 17733, 0
420.001018, 9.999993, 17851, 17851, 0
430.001033, 10.000015, 17803, 17803, 0
440.001092, 10.000059, 17838, 17838, 0
450.000052, 9.99896, 17946, 17946, 0
460.000055, 10.000003, 18150, 18150, 0
470.00006, 10.000005, 17450, 17450, 0
480.000032, 9.999972, 18815, 18815, 0
490.000076, 10.000044, 17837, 17837, 0
500.00003, 9.999954, 17579, 17579, 0
510.000036, 10.000006, 17145, 17145, 0
520.00006, 10.000024, 18158, 18158, 0
530.000028, 9.999968, 18263, 18263, 0
540.001037, 10.001009, 17614, 17614, 0
550.001059, 10.000022, 17347, 17347, 0
560.000759, 9.9997, 18016, 18016, 0
570.000074, 9.999315, 17714, 17714, 0
580.000031, 9.999957, 17408, 17408, 0
590.001017, 10.000986, 17772, 17772, 0
600.00102, 10.000003, 17184, 17184, 0
610.001015, 9.999995, 18225, 18225, 0
620.001018, 10.000003, 18267, 18267, 0
630.001021, 10.000003, 17399, 17399, 0
640.001029, 10.000008, 17745, 17745, 0
650.001032, 10.000003, 17939, 17939, 0
660.001074, 10.000042, 17682, 17682, 0
670.000057, 9.998983, 17667, 17667, 0
680.000031, 9.999974, 17894, 17894, 0
690.001031, 10.001, 18012, 18012, 0
700.001017, 9.999986, 18198, 18198, 0
710.001013, 9.999996, 18389, 18389, 0
720.001004, 9.999991, 15361, 15361, 0
730.001029, 10.000025, 17634, 17634, 0
740.001006, 9.999977, 19204, 19204, 0
750.00108, 10.000074, 17923, 17923, 0
760.000034, 9.998954, 17852, 17852, 0
770.000999, 10.000965, 17584, 17584, 0
780.001094, 10.000095, 18147, 18147, 0
790.000036, 9.998942, 17370, 17370, 0
800.001097, 10.001061, 17275, 17275, 0
810.000052, 9.998955, 17580, 17580, 0
820.000035, 9.999983, 17003, 17003, 0
830.000035, 10.0, 17565, 17565, 0
840.000033, 9.999998, 17480, 17480, 0
850.000081, 10.000048, 17430, 17430, 0
860.000099, 10.000018, 17271, 17271, 0
870.000027, 9.999928, 16651, 16651, 0
880.001021, 10.000994, 18271, 18271, 0
890.001099, 10.000078, 19122, 19122, 0
900.000095, 9.998996, 17982, 17982, 0
910.00004, 9.999945, 17656, 17656, 0
920.001172, 10.001132, 17748, 17748, 0
930.0001, 9.998928, 17280, 17280, 0
940.001015, 10.000915, 17314, 17314, 0
950.001026, 10.000011, 17917, 17917, 0
960.001002, 9.999976, 17916, 17916, 0
970.001137, 10.000135, 17261, 17261, 0
980.000112, 9.998975, 18171, 18171, 0
990.000599, 10.000487, 17660, 17660, 0
1000.000035, 9.999436, 17455, 17455, 0
1010.001004, 10.000969, 16925, 16925, 0
1020.001143, 10.000139, 17978, 17978, 0
1030.000046, 9.998903, 17908, 17908, 0
1040.001023, 10.000977, 17668, 17668, 0
1050.001003, 9.99998, 17854, 17854, 0
1060.001025, 10.000022, 18166, 18166, 0
1070.001015, 9.99999, 18387, 18387, 0
1080.001157, 10.000142, 18274, 18274, 0
1090.000031, 9.998874, 18499, 18499, 0
1100.000051, 10.00002, 18013, 18013, 0
1110.000058, 10.000007, 18094, 18094, 0
1120.000033, 9.999975, 16678, 16678, 0
1120.045619, 0.045586, 0, 0, 0
