elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000036, 10.000036, 13897, 3249, 10585.5, 10262, 15200, 19117, 34769, 231076, 0
20.000068, 10.000032, 13783, 3433, 10634.2, 10405, 15100, 18121, 24520, 91505, 0
30.00067, 10.000602, 13918, 2964, 10558.7, 10280, 15025, 18316, 24001, 245882, 0
40.000729, 10.000059, 13770, 2976, 10577.4, 10250, 15377, 18837, 25712, 522253, 0
50.00069, 9.999961, 13440, 2808, 10319.8, 9699, 15198, 20584, 40353, 961323, 0
60.000654, 9.999964, 14309, 2928, 10188.0, 9887, 14805, 18368, 27823, 225515, 0
70.000659, 10.000005, 14099, 2736, 10350.8, 10010, 15021, 18733, 27098, 335178, 0
80.000693, 10.000034, 14180, 2979, 10306.9, 10017, 14816, 18148, 25310, 106568, 0
90.000649, 9.999956, 13781, 2593, 10138.9, 9683, 14973, 19095, 41004, 557231, 0
100.0007, 10.000051, 14262, 2763, 10146.7, 9818, 14918, 18628, 31961, 135135, 0
110.000646, 9.999946, 13142, 2458, 10171.5, 9646, 14535, 18871, 49892, 1517249, 0
120.000664, 10.000018, 14598, 2965, 10061.6, 9805, 14229, 17696, 24377, 167482, 0
130.000688, 10.000024, 14390, 3030, 10287.1, 10000, 14851, 18156, 24805, 41762, 0
140.000649, 9.999961, 14195, 2978, 10264.6, 9957, 14771, 18046, 26236, 556193, 0
150.000663, 10.000014, 14160, 2777, 10268.6, 9900, 15126, 18841, 31343, 228644, 0
160.000743, 10.00008, 13989, 2729, 10406.0, 10167, 14967, 18247, 26554, 51703, 0
170.000665, 9.999922, 13806, 2602, 10194.6, 9832, 14885, 19069, 26508, 1136565, 0
180.00065, 9.999985, 14318, 3122, 10228.8, 9929, 14865, 18521, 24590, 115976, 0
190.000659, 10.000009, 14253, 2895, 10095.3, 9787, 14700, 17800, 29176, 472415, 0
200.000713, 10.000054, 14502, 3228, 10144.8, 9824, 14766, 18017, 28065, 114070, 0
210.00065, 9.999937, 14327, 3356, 10204.9, 9913, 14854, 18376, 26963, 80688, 0
220.000709, 10.000059, 14315, 2603, 10200.0, 9941, 14703, 17995, 25373, 65010, 0
230.000662, 9.999953, 14267, 3129, 10302.3, 9956, 15334, 19943, 28003, 90969, 0
240.000735, 10.000073, 14286, 2700, 10226.6, 9914, 15052, 18762, 26764, 64405, 0
250.000657, 9.999922, 13988, 3358, 10127.7, 9671, 15045, 19859, 34587, 327503, 0
260.000655, 9.999998, 14409, 2993, 10273.1, 9939, 15072, 19443, 30257, 114727, 0
270.000752, 10.000097, 14414, 3047, 10165.0, 9851, 14563, 17823, 24367, 532766, 0
280.000658, 9.999906, 14296, 2601, 10180.9, 9777, 15060, 19076, 37811, 285601, 0
290.000657, 9.999999, 14371, 3245, 10181.6, 9871, 14844, 18347, 35262, 152683, 0
300.000684, 10.000027, 14470, 3256, 10182.0, 9913, 14720, 18251, 26180, 38639, 0
310.000701, 10.000017, 14093, 2917, 10285.7, 9840, 15544, 20511, 29967, 213438, 0
320.00066, 9.999959, 14536, 3380, 10144.3, 9852, 14728, 17807, 24086, 213438, 0
330.000651, 9.999991, 14276, 2593, 10339.9, 10026, 15003, 18866, 27242, 48098, 0
340.000656, 10.000005, 12274, 2862, 10294.6, 9553, 14965, 18731, 37611, 2766273, 0
350.000676, 10.00002, 14330, 2404, 10123.4, 9784, 14880, 18587, 26446, 737151, 0
360.000658, 9.999982, 14317, 2627, 10228.9, 9873, 15160, 20219, 28684, 66685, 0
370.000654, 9.999996, 14292, 2967, 10072.5, 9688, 14671, 18534, 29853, 645238, 0
380.000767, 10.000113, 14581, 3437, 10021.2, 9738, 14383, 17798, 28161, 233924, 0
390.000676, 9.999909, 14375, 2352, 10191.8, 9823, 14989, 20148, 28932, 73620, 0
400.000657, 9.999981, 14367, 2896, 10234.6, 9846, 15238, 19735, 29650, 92429, 0
410.00068, 10.000023, 14395, 2772, 10115.4, 9788, 14837, 18318, 25313, 81492, 0
420.000664, 9.999984, 13143, 2489, 9939.0, 9276, 14914, 20441, 84486, 1103761, 0
430.000671, 10.000007, 14566, 3001, 10078.7, 9774, 14537, 18072, 27286, 359023, 0
440.000671, 10.0, 14258, 2643, 10228.7, 9901, 14904, 18619, 26258, 344495, 0
450.000651, 9.99998, 14373, 2685, 10070.7, 9648, 15002, 20015, 27423, 344495, 0
460.000664, 10.000013, 14155, 2955, 10147.5, 9734, 15175, 21273, 42049, 80225, 0
470.000778, 10.000114, 14243, 2955, 10137.5, 9734, 14965, 19487, 40058, 170717, 0
480.000662, 9.999884, 14415, 3079, 10225.1, 9818, 15237, 20465, 31344, 88083, 0
490.000684, 10.000022, 14051, 2395, 10125.1, 9618, 14931, 19491, 37200, 489078, 0
500.000653, 9.999969, 14463, 2709, 9993.3, 9567, 14966, 19115, 31216, 422074, 0
510.000653, 10.0, 14469, 2987, 10221.7, 9906, 14985, 18765, 26029, 36638, 0
520.0007, 10.000047, 14415, 2951, 9967.4, 9598, 14999, 19064, 27611, 85906, 0
530.000689, 9.999989, 14494, 3013, 9951.6, 9569, 14648, 18409, 45657, 228890, 0
540.00065, 9.999961, 14648, 2960, 9803.8, 9458, 14573, 18550, 28769, 105656, 0
550.000648, 9.999998, 14452, 3045, 10135.6, 9790, 14805, 19124, 37377, 111881, 0
560.000711, 10.000063, 14445, 2830, 10099.8, 9825, 14604, 17995, 24677, 62791, 0
570.000659, 9.999948, 14454, 3206, 10105.1, 9801, 14729, 18275, 25674, 215600, 0
580.00072, 10.000061, 14253, 2744, 10197.4, 9749, 15456, 20718, 29219, 196682, 0
