elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000036, 10.000036, 2278, 10126, 23502.6, 22662, 32766, 40892, 60897, 297829, 0
20.000068, 10.000032, 2338, 10984, 22693.1, 22216, 30575, 36110, 58873, 107141, 0
30.00067, 10.000602, 2329, 9882, 22596.9, 21865, 30414, 36414, 161301, 231767, 0
40.000729, 10.000059, 2331, 8303, 23340.0, 22088, 31134, 40058, 164417, 557825, 0
50.00069, 9.999961, 2189, 7818, 27978.3, 21521, 34030, 81303, 994054, 1024965, 0
60.000654, 9.999964, 2442, 9285, 22042.2, 21443, 30486, 36747, 55069, 150360, 0
70.000659, 10.000005, 2400, 9285, 22458.2, 21672, 30513, 36281, 59200, 347310, 0
80.000693, 10.000034, 2424, 9500, 22060.5, 21523, 30486, 37738, 97199, 143874, 0
90.000649, 9.999956, 2309, 7195, 25807.9, 21383, 34777, 95209, 502747, 552254, 0
100.0007, 10.000051, 2435, 10673, 24027.6, 21661, 30753, 51506, 436775, 738156, 0
110.000646, 9.999946, 2166, 8070, 29456.3, 21274, 31591, 56825, 1497326, 1615160, 0
120.000664, 10.000018, 2419, 7914, 21832.4, 21165, 29353, 35521, 87864, 150389, 0
130.000688, 10.000024, 2302, 9310, 22382.9, 21647, 30552, 38846, 105206, 323960, 0
140.000649, 9.999961, 2284, 8690, 23354.0, 21556, 31285, 39054, 441224, 607097, 0
150.000663, 10.000014, 2429, 9866, 22467.9, 21462, 32152, 51269, 115234, 126546, 0
160.000743, 10.00008, 2399, 8769, 22472.7, 21830, 31315, 40809, 62225, 75871, 0
170.000665, 9.999922, 2269, 9036, 25902.9, 21404, 32373, 45198, 1056825, 1238840, 0
180.00065, 9.999985, 2373, 11065, 22495.2, 21773, 30466, 36125, 127052, 136798, 0
190.000659, 10.000009, 2401, 7985, 23285.8, 21523, 30943, 38742, 372445, 479934, 0
200.000713, 10.000054, 2365, 10195, 21952.6, 21242, 30267, 37775, 73829, 125606, 0
210.00065, 9.999937, 2435, 11194, 21856.0, 21402, 30008, 34943, 56309, 88040, 0
220.000709, 10.000059, 2373, 9174, 22366.0, 21677, 30755, 38949, 87467, 132671, 0
230.000662, 9.999953, 2343, 9446, 22400.9, 21463, 30902, 37924, 164559, 184722, 0
240.000735, 10.000073, 2366, 9724, 22312.6, 21662, 30532, 36718, 76528, 344142, 0
250.000657, 9.999922, 2326, 9289, 25160.5, 21351, 31931, 45225, 338748, 3269136, 0
260.000655, 9.999998, 2297, 9289, 22384.4, 21457, 31122, 40814, 96994, 295483, 0
270.000752, 10.000097, 2347, 8899, 22674.3, 21268, 30898, 40434, 295483, 521392, 0
280.000658, 9.999906, 2413, 7498, 22455.5, 21371, 32618, 52281, 69284, 132277, 0
290.000657, 9.999999, 2379, 8036, 22438.5, 21420, 31375, 49327, 90136, 173360, 0
300.000684, 10.000027, 2347, 9734, 22128.6, 21617, 30335, 35322, 42468, 84222, 0
310.000701, 10.000017, 2433, 9507, 22365.3, 21571, 32479, 40488, 67284, 221047, 0
320.00066, 9.999959, 2419, 9489, 22045.0, 21367, 30117, 38477, 76089, 221047, 0
330.000651, 9.999991, 2330, 8716, 22214.1, 21686, 30958, 36499, 50995, 53721, 0
340.000656, 10.000005, 2033, 7951, 34607.4, 21118, 31975, 69495, 2777803, 2885563, 0
350.000676, 10.00002, 2330, 8571, 23573.3, 21453, 31468, 39943, 653965, 762721, 0
360.000658, 9.999982, 2359, 10008, 22426.0, 21522, 32116, 42915, 70865, 336913, 0
370.000654, 9.999996, 2287, 10198, 24026.2, 21162, 31832, 46798, 665769, 727427, 0
380.000767, 10.000113, 2477, 9586, 21831.6, 21198, 29688, 35416, 60154, 283953, 0
390.000676, 9.999909, 2378, 10004, 22212.7, 21343, 30920, 39069, 67248, 345862, 0
400.000657, 9.999981, 2356, 7917, 22552.5, 21382, 32069, 44857, 129088, 345862, 0
410.00068, 10.000023, 2449, 7917, 22039.1, 21216, 30142, 42650, 131315, 206577, 0
420.000664, 9.999984, 2272, 6607, 30279.3, 20851, 35340, 210225, 1290942, 1341935, 0
430.000671, 10.000007, 2365, 8351, 22202.0, 21130, 30232, 38068, 152179, 352355, 0
440.000671, 10.0, 2382, 8652, 22430.5, 21490, 30399, 37667, 182012, 375529, 0
450.000651, 9.99998, 2454, 8019, 22840.3, 21082, 31948, 40727, 329161, 375529, 0
460.000664, 10.000013, 2380, 8511, 23216.3, 21363, 32847, 51620, 381333, 427556, 0
470.000778, 10.000114, 2446, 9791, 22570.0, 21370, 31926, 49595, 134896, 297023, 0
480.000662, 9.999884, 2359, 8761, 22456.1, 21509, 32571, 43206, 101873, 209915, 0
490.000684, 10.000022, 2320, 7852, 24449.7, 21387, 32698, 54591, 393746, 518095, 0
