elapsed, window, total, successful, failed
10.00004, 10.00004, 14715, 14715, 0
20.000627, 10.000587, 10916, 10916, 0
30.000624, 9.999997, 11859, 11859, 0
40.000611, 9.999987, 10252, 10252, 0
50.000629, 10.000018, 12107, 12107, 0
60.000713, 10.000084, 10316, 10316, 0
70.000658, 9.999945, 8001, 8001, 0
80.00061, 9.999952, 9388, 9388, 0
90.000637, 10.000027, 9894, 9894, 0
100.000619, 9.999982, 10027, 10027, 0
110.000612, 9.999993, 7881, 7881, 0
120.000746, 10.000134, 7622, 7622, 0
130.000614, 9.999868, 8805, 8805, 0
140.000614, 10.0, 10261, 10261, 0
150.00062, 10.000006, 9713, 9713, 0
160.000614, 9.999994, 9323, 9323, 0
170.000658, 10.000044, 9796, 9796, 0
180.000628, 9.99997, 10329, 10329, 0
190.000611, 9.999983, 7530, 7530, 0
200.000637, 10.000026, 10209, 10209, 0
210.000822, 10.000185, 8703, 8703, 0
220.000638, 9.999816, 9424, 9424, 0
230.000613, 9.999975, 10087, 10087, 0
240.000613, 10.0, 10127, 10127, 0
250.000607, 9.999994, 10475, 10475, 0
260.000626, 10.000019, 8708, 8708, 0
270.000613, 9.999987, 8807, 8807, 0
280.000636, 10.000023, 10376, 10376, 0
290.000622, 9.999986, 9951, 9951, 0
300.00062, 9.999998, 9911, 9911, 0
310.000625, 10.000005, 9878, 9878, 0
320.000619, 9.999994, 9798, 9798, 0
330.000612, 9.999993, 9596, 9596, 0
340.000619, 10.000007, 8749, 8749, 0
350.000638, 10.000019, 10705, 10705, 0
360.000621, 9.999983, 8951, 8951, 0
370.000607, 9.999986, 10249, 10249, 0
380.000618, 10.000011, 10287, 10287, 0
390.000629, 10.000011, 9573, 9573, 0
400.000612, 9.999983, 10000, 10000, 0
410.000622, 10.00001, 9476, 9476, 0
420.000681, 10.000059, 9114, 9114, 0
430.000618, 9.999937, 9091, 9091, 0
440.000711, 10.000093, 9583, 9583, 0
450.000615, 9.999904, 10912, 10912, 0
460.000611, 9.999996, 9265, 9265, 0
470.00062, 10.000009, 9262, 9262, 0
480.000634, 10.000014, 9804, 9804, 0
490.000609, 9.999975, 8653, 8653, 0
500.00062, 10.000011, 9466, 9466, 0
510.000614, 9.999994, 9550, 9550, 0
520.000619, 10.000005, 9513, 9513, 0
530.000624, 10.000005, 9557, 9557, 0
540.000639, 10.000015, 9736, 9736, 0
550.000626, 9.999987, 9995, 9995, 0
560.0007, 10.000074, 10208, 10208, 0
570.00081, 10.00011, 9585, 9585, 0
580.000685, 9.999875, 9617, 9617, 0
590.000615, 9.99993, 10147, 10147, 0
600.000609, 9.999994, 10489, 10489, 0
610.000664, 10.000055, 9534, 9534, 0
620.000628, 9.999964, 10179, 10179, 0
630.000619, 9.999991, 10380, 10380, 0
640.000632, 10.000013, 9971, 9971, 0
650.000615, 9.999983, 8873, 8873, 0
660.00063, 10.000015, 10224, 10224, 0
670.000635, 10.000005, 9808, 9808, 0
680.000615, 9.99998, 9928, 9928, 0
690.000634, 10.000019, 10410, 10410, 0
700.000622, 9.999988, 9752, 9752, 0
710.000614, 9.999992, 10003, 10003, 0
720.000619, 10.000005, 9573, 9573, 0
730.000625, 10.000006, 9684, 9684, 0
740.000607, 9.999982, 9196, 9196, 0
750.000618, 10.000011, 9702, 9702, 0
760.000621, 10.000003, 10611, 10611, 0
770.000649, 10.000028, 10003, 10003, 0
780.00061, 9.999961, 11234, 11234, 0
790.000607, 9.999997, 9043, 9043, 0
800.00063, 10.000023, 8876, 8876, 0
810.000628, 9.999998, 9309, 9309, 0
820.000634, 10.000006, 9052, 9052, 0
830.000642, 10.000008, 9954, 9954, 0
840.000621, 9.999979, 8749, 8749, 0
850.000618, 9.999997, 10457, 10457, 0
860.000613, 9.999995, 9109, 9109, 0
870.000653, 10.00004, 8805, 8805, 0
880.000609, 9.999956, 9687, 9687, 0
890.000616, 10.000007, 10764, 10764, 0
900.00063, 10.000014, 10324, 10324, 0
910.000623, 9.999993, 10395, 10395, 0
920.000635, 10.000012, 9855, 9855, 0
930.000625, 9.99999, 8829, 8829, 0
940.000737, 10.000112, 8905, 8905, 0
950.000632, 9.999895, 9976, 9976, 0
960.000674, 10.000042, 10265, 10265, 0
970.000615, 9.999941, 9228, 9228, 0
980.000609, 9.999994, 10496, 10496, 0
990.000638, 10.000029, 9655, 9655, 0
1000.000651, 10.000013, 10291, 10291, 0
1010.000626, 9.999975, 10939, 10939, 0
1020.000608, 9.999982, 10699, 10699, 0
1030.00062, 10.000012, 10464, 10464, 0
1040.000612, 9.999992, 12782, 12782, 0
1050.000626, 10.000014, 12596, 12596, 0
1060.000619, 9.999993, 12295, 12295, 0
1070.000611, 9.999992, 10974, 10974, 0
1080.000686, 10.000075, 12264, 12264, 0
1090.000612, 9.999926, 10753, 10753, 0
1100.000613, 10.000001, 6735, 6735, 0
1110.000615, 10.000002, 10425, 10425, 0
1120.000602, 9.999987, 11294, 11294, 0
1130.000609, 10.000007, 12272, 12272, 0
1140.000608, 9.999999, 11719, 11719, 0
1150.000646, 10.000038, 11377, 11377, 0
1160.000657, 10.000011, 11383, 11383, 0
1170.000721, 10.000064, 11296, 11296, 0
1180.000612, 9.999891, 11608, 11608, 0
1190.000762, 10.00015, 10178, 10178, 0
1200.000611, 9.999849, 11464, 11464, 0
1210.000623, 10.000012, 11905, 11905, 0
1220.000623, 10.0, 11921, 11921, 0
1230.000631, 10.000008, 12380, 12380, 0
1240.000606, 9.999975, 10628, 10628, 0
1250.000612, 10.000006, 10981, 10981, 0
1260.000626, 10.000014, 12685, 12685, 0
1270.000642, 10.000016, 11673, 11673, 0
1280.000605, 9.999963, 8921, 8921, 0
1290.000607, 10.000002, 11613, 11613, 0
1300.000616, 10.000009, 11764, 11764, 0
1310.000623, 10.000007, 11961, 11961, 0
1320.000625, 10.000002, 11839, 11839, 0
1330.000657, 10.000032, 11927, 11927, 0
1340.000638, 9.999981, 11223, 11223, 0
1350.000682, 10.000044, 10590, 10590, 0
1360.000616, 9.999934, 11053, 11053, 0
1370.000619, 10.000003, 11380, 11380, 0
1380.000627, 10.000008, 11197, 11197, 0
1390.000608, 9.999981, 10663, 10663, 0
1400.000639, 10.000031, 10331, 10331, 0
1410.000692, 10.000053, 12305, 12305, 0
1420.00062, 9.999928, 12314, 12314, 0
1430.000633, 10.000013, 12346, 12346, 0
1440.000619, 9.999986, 11291, 11291, 0
1450.000711, 10.000092, 12255, 12255, 0
1460.000628, 9.999917, 11960, 11960, 0
1470.000613, 9.999985, 11296, 11296, 0
1480.000638, 10.000025, 11931, 11931, 0
1490.000633, 9.999995, 11893, 11893, 0
1500.000709, 10.000076, 11020, 11020, 0
1510.000609, 9.9999, 10903, 10903, 0
1520.000609, 10.0, 11200, 11200, 0
1530.00074, 10.000131, 11589, 11589, 0
1540.00063, 9.99989, 12339, 12339, 0
1550.000623, 9.999993, 11436, 11436, 0
1560.000701, 10.000078, 11260, 11260, 0
1570.000613, 9.999912, 10294, 10294, 0
1580.000612, 9.999999, 11394, 11394, 0
1590.000614, 10.000002, 11132, 11132, 0
1600.000622, 10.000008, 12234, 12234, 0
1610.000653, 10.000031, 10241, 10241, 0
1620.000611, 9.999958, 9274, 9274, 0
1630.000616, 10.000005, 10654, 10654, 0
1640.00064, 10.000024, 7705, 7705, 0
1650.000616, 9.999976, 12254, 12254, 0
1660.000645, 10.000029, 11765, 11765, 0
1670.000649, 10.000004, 11495, 11495, 0
1680.000621, 9.999972, 11418, 11418, 0
1690.000624, 10.000003, 12159, 12159, 0
1700.00061, 9.999986, 11713, 11713, 0
1710.000607, 9.999997, 11921, 11921, 0
1720.000722, 10.000115, 10912, 10912, 0
1730.000662, 9.99994, 10339, 10339, 0
1740.000632, 9.99997, 11785, 11785, 0
1750.000747, 10.000115, 12219, 12219, 0
1760.000641, 9.999894, 11071, 11071, 0
1770.000632, 9.999991, 10586, 10586, 0
1780.00061, 9.999978, 11977, 11977, 0
1790.00066, 10.00005, 10948, 10948, 0
1800.000621, 9.999961, 9670, 9670, 0
1810.00063, 10.000009, 11037, 11037, 0
1820.000608, 9.999978, 10864, 10864, 0
1830.000644, 10.000036, 10319, 10319, 0
1840.000615, 9.999971, 9076, 9076, 0
1850.000614, 9.999999, 8445, 8445, 0
1860.000623, 10.000009, 7383, 7383, 0
1870.000608, 9.999985, 6613, 6613, 0
1880.000616, 10.000008, 5817, 5817, 0
1890.000614, 9.999998, 4764, 4764, 0
1900.000616, 10.000002, 4627, 4627, 0
1910.000606, 9.99999, 4582, 4582, 0
1920.000619, 10.000013, 3579, 3579, 0
1930.000616, 9.999997, 3438, 3438, 0
1940.00062, 10.000004, 2872, 2872, 0
1950.000619, 9.999999, 2759, 2759, 0
1960.000616, 9.999997, 2822, 2822, 0
1970.000607, 9.999991, 2929, 2929, 0
1980.000608, 10.000001, 2879, 2879, 0
1990.000608, 10.0, 2874, 2874, 0
2000.000612, 10.000004, 2906, 2906, 0
2010.000607, 9.999995, 2950, 2950, 0
2020.000614, 10.000007, 2810, 2810, 0
2030.000613, 9.999999, 2696, 2696, 0
2036.396624, 6.396011, 898, 898, 0
