elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00004, 10.00004, 2073, 5612, 31159.8, 25405, 63173, 124482, 359965, 410797, 0
20.000627, 10.000587, 1565, 6688, 57959.9, 24325, 120586, 1235187, 1748737, 1860132, 0
30.000624, 9.999997, 1751, 4607, 48669.7, 23984, 71776, 781983, 1849204, 2965347, 0
40.000611, 9.999987, 1423, 6343, 65086.5, 22948, 56433, 997449, 3963365, 3974351, 0
50.000629, 10.000018, 1700, 5715, 76266.8, 22686, 93580, 1562466, 3974351, 5497383, 0
60.000713, 10.000084, 1519, 5370, 62972.3, 24002, 72695, 1232878, 3524920, 3620163, 0
70.000658, 9.999945, 1174, 5837, 63995.6, 27212, 115623, 1008196, 3236450, 3312194, 0
80.00061, 9.999952, 1369, 5263, 53774.1, 30830, 106175, 373837, 1723542, 1763425, 0
90.000637, 10.000027, 1434, 6131, 45078.9, 31971, 85085, 364281, 898745, 981889, 0
100.000619, 9.999982, 1534, 8670, 41271.2, 32659, 82702, 187931, 515010, 618330, 0
110.000612, 9.999993, 1152, 5325, 69784.5, 30929, 111210, 1261591, 3363364, 3547407, 0
120.000746, 10.000134, 1073, 5900, 71993.1, 33592, 146471, 1259910, 2074221, 2777854, 0
130.000614, 9.999868, 1260, 7209, 65496.1, 31241, 124645, 1010795, 1423920, 1516854, 0
140.000614, 10.0, 1452, 7255, 47841.1, 29654, 84817, 654355, 1209510, 1280496, 0
150.00062, 10.000006, 1393, 6550, 42763.3, 30976, 89501, 254494, 905705, 965926, 0
160.000614, 9.999994, 1389, 6034, 50365.5, 33161, 90671, 316660, 1616314, 1702482, 0
170.000658, 10.000044, 1340, 6590, 42838.0, 32241, 91669, 247383, 617310, 671844, 0
180.000628, 9.99997, 1486, 6926, 43453.9, 30908, 83882, 289544, 829165, 1282825, 0
190.000611, 9.999983, 1013, 6775, 86448.6, 28625, 342221, 1529768, 3076969, 3116528, 0
200.000637, 10.000026, 1438, 5880, 43128.4, 31996, 87656, 287596, 896130, 1687762, 0
210.000822, 10.000185, 1300, 5965, 55542.3, 30624, 92585, 507261, 2661503, 2698566, 0
220.000638, 9.999816, 1353, 6091, 51033.5, 33095, 95380, 521843, 1230383, 1279100, 0
230.000613, 9.999975, 1426, 6612, 41472.7, 32349, 88760, 203750, 689037, 745679, 0
240.000613, 10.0, 1442, 7343, 41419.6, 32409, 88318, 244252, 371476, 390159, 0
250.000607, 9.999994, 1431, 6269, 39747.2, 31918, 84270, 199017, 361741, 374111, 0
260.000626, 10.000019, 1261, 6438, 57946.8, 31846, 116868, 638630, 1755091, 2267921, 0
270.000613, 9.999987, 1257, 6967, 65115.4, 32078, 119581, 1107436, 1520836, 1755091, 0
280.000636, 10.000023, 1501, 6209, 41604.9, 29549, 80515, 323047, 816051, 916936, 0
290.000622, 9.999986, 1396, 6636, 44043.1, 33383, 95508, 309919, 572969, 598594, 0
300.00062, 9.999998, 1433, 6366, 47135.6, 31027, 89662, 302871, 1404564, 1428289, 0
310.000625, 10.000005, 1437, 7596, 47475.7, 30972, 87203, 271533, 1602395, 1631768, 0
320.000619, 9.999994, 1345, 7865, 44314.7, 31771, 86065, 265758, 1703917, 1933542, 0
330.000612, 9.999993, 1385, 6762, 51466.3, 33110, 92371, 491209, 1631546, 1647656, 0
340.000619, 10.000007, 1238, 6270, 58720.1, 32404, 109631, 980553, 1821311, 1837772, 0
350.000638, 10.000019, 1477, 6283, 39890.8, 32004, 81027, 147555, 420190, 472428, 0
360.000621, 9.999983, 1268, 6402, 61622.2, 30940, 97942, 1054923, 2402400, 2469124, 0
370.000607, 9.999986, 1449, 7824, 58736.4, 32257, 95209, 873760, 2402400, 2469124, 0
380.000618, 10.000011, 1446, 8718, 42700.9, 33202, 86628, 220236, 589655, 613620, 0
390.000629, 10.000011, 1399, 7665, 44080.2, 34240, 90501, 284996, 688885, 766239, 0
400.000612, 9.999983, 1391, 8819, 42357.9, 33646, 86239, 267062, 357543, 478238, 0
410.000622, 10.00001, 1391, 7475, 39872.3, 32549, 85934, 158474, 359789, 406597, 0
420.000681, 10.000059, 1318, 7707, 57125.9, 36840, 105016, 345423, 4346524, 4462942, 0
430.000618, 9.999937, 1300, 8526, 49138.9, 32525, 94813, 303931, 1610853, 1730233, 0
440.000711, 10.000093, 1406, 6185, 50107.5, 31936, 91431, 431847, 1890651, 2616991, 0
450.000615, 9.999904, 1507, 7278, 40267.5, 30786, 90196, 274746, 379443, 443017, 0
460.000611, 9.999996, 1335, 6956, 56636.5, 31805, 102207, 368108, 3662558, 5866516, 0
470.00062, 10.000009, 1281, 8105, 57004.5, 32741, 95650, 356876, 3254702, 3662558, 0
480.000634, 10.000014, 1424, 6950, 46599.6, 32118, 92831, 324722, 2045930, 2397050, 0
490.000609, 9.999975, 1240, 7543, 58773.2, 33537, 114619, 708340, 1713960, 1756982, 0
500.00062, 10.000011, 1337, 7293, 53849.9, 32960, 110006, 634617, 1085987, 1175487, 0
510.000614, 9.999994, 1340, 7640, 50756.0, 33341, 113357, 479432, 842073, 1327128, 0
520.000619, 10.000005, 1326, 8159, 49004.7, 32903, 97258, 479753, 887309, 1288919, 0
530.000624, 10.000005, 1317, 9671, 44296.6, 34527, 85428, 253564, 655521, 785106, 0
540.000639, 10.000015, 1380, 7842, 46534.1, 33480, 96485, 330143, 812874, 866478, 0
550.000626, 9.999987, 1459, 6657, 43366.7, 31127, 95151, 313834, 756442, 767949, 0
560.0007, 10.000074, 1461, 7126, 42880.0, 30755, 85668, 429582, 729210, 785980, 0
570.00081, 10.00011, 1392, 5265, 57036.4, 30409, 82312, 1213189, 2568385, 2634210, 0
580.000685, 9.999875, 1332, 7639, 50517.1, 30971, 77719, 417080, 1872662, 1956894, 0
590.000615, 9.99993, 1465, 8059, 53650.2, 33164, 95499, 312015, 1872662, 1956894, 0
600.000609, 9.999994, 1553, 5838, 40540.7, 31785, 87889, 237336, 389342, 453256, 0
610.000664, 10.000055, 1344, 6333, 49374.9, 32070, 86377, 445795, 1630540, 2018364, 0
620.000628, 9.999964, 1432, 5744, 49070.8, 33654, 85255, 348678, 1630540, 2018364, 0
630.000619, 9.999991, 1488, 8686, 41910.2, 31502, 82752, 263869, 807717, 1055482, 0
640.000632, 10.000013, 1354, 6224, 42875.4, 33787, 87883, 224289, 718057, 1126169, 0
650.000615, 9.999983, 1285, 4970, 58614.0, 32221, 113888, 788914, 1291483, 1296298, 0
660.00063, 10.000015, 1462, 8206, 41025.5, 32175, 89812, 195426, 380176, 463685, 0
