elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000047, 10.000047, 1693, 4849, 88723.8, 70601, 238103, 423210, 573839, 676810, 0
20.000622, 10.000575, 1917, 4204, 80344.0, 59951, 211349, 337811, 466366, 574202, 0
30.000624, 10.000002, 1669, 4699, 93455.7, 81188, 226393, 342455, 520711, 796674, 0
40.000631, 10.000007, 1923, 6237, 81849.1, 62697, 207829, 377194, 500919, 568532, 0
50.000624, 9.999993, 2645, 3042, 57461.7, 35382, 166002, 311872, 548501, 809606, 0
60.000619, 9.999995, 3517, 3197, 42655.1, 23426, 130680, 291069, 464768, 2031560, 0
70.00062, 10.000001, 5079, 2381, 27024.4, 16735, 79775, 153160, 350140, 407076, 0
80.000619, 9.999999, 4496, 2169, 23041.4, 12276, 45256, 116307, 2419329, 4794205, 0
90.000634, 10.000015, 4752, 2184, 22916.6, 13364, 50804, 178109, 991061, 2406382, 0
100.000639, 10.000005, 3849, 2100, 26855.6, 13660, 53342, 298206, 1449619, 1861928, 0
110.000617, 9.999978, 3821, 2050, 23746.7, 12035, 48603, 153374, 1061452, 3348954, 0
120.000635, 10.000018, 4645, 2367, 22036.9, 13153, 49228, 111977, 341724, 4294304, 0
130.00064, 10.000005, 5825, 2048, 21931.7, 14156, 56079, 119253, 448725, 1471021, 0
140.000621, 9.999981, 5443, 2620, 21961.9, 13999, 54712, 126032, 547400, 1455481, 0
150.000632, 10.000011, 2711, 1382, 29362.0, 11595, 48235, 360265, 2551147, 4289883, 0
160.000625, 9.999993, 5042, 2208, 23805.8, 13638, 59054, 173302, 767968, 1895624, 0
170.000628, 10.000003, 4054, 1958, 20355.8, 12219, 48248, 114317, 996958, 1467810, 0
180.000627, 9.999999, 4910, 2253, 22289.7, 12180, 46777, 118753, 1688814, 6476266, 0
190.000621, 9.999994, 4573, 2046, 21239.6, 12080, 49731, 118736, 1695737, 2002963, 0
200.000739, 10.000118, 4641, 2396, 24377.3, 13648, 57804, 137107, 1208605, 2860658, 0
