elapsed, window, total, successful, failed
10.000047, 10.000047, 1984, 1984, 0
20.000622, 10.000575, 2250, 2250, 0
30.000624, 10.000002, 1942, 1942, 0
40.000631, 10.000007, 2218, 2218, 0
50.000624, 9.999993, 3075, 3075, 0
60.000619, 9.999995, 4120, 4120, 0
70.00062, 10.000001, 5917, 5917, 0
80.000619, 9.999999, 5247, 5247, 0
90.000634, 10.000015, 5590, 5590, 0
100.000639, 10.000005, 4482, 4482, 0
110.000617, 9.999978, 4435, 4435, 0
120.000635, 10.000018, 5423, 5423, 0
130.00064, 10.000005, 6821, 6821, 0
140.000621, 9.999981, 6349, 6349, 0
150.000632, 10.000011, 3200, 3200, 0
160.000625, 9.999993, 5875, 5875, 0
170.000628, 10.000003, 4711, 4711, 0
180.000627, 9.999999, 5747, 5747, 0
190.000621, 9.999994, 5356, 5356, 0
200.000739, 10.000118, 5407, 5407, 0
210.000619, 9.99988, 4271, 4271, 0
220.000642, 10.000023, 6452, 6452, 0
230.000623, 9.999981, 5415, 5415, 0
240.000615, 9.999992, 6665, 6665, 0
250.00062, 10.000005, 6728, 6728, 0
260.000623, 10.000003, 5452, 5452, 0
270.000622, 9.999999, 5157, 5157, 0
280.000642, 10.00002, 6039, 6039, 0
290.000623, 9.999981, 5561, 5561, 0
300.000708, 10.000085, 4888, 4888, 0
310.000648, 9.99994, 3666, 3666, 0
320.000624, 9.999976, 4783, 4783, 0
330.000635, 10.000011, 2866, 2866, 0
340.000647, 10.000012, 3746, 3746, 0
350.000621, 9.999974, 6232, 6232, 0
360.00067, 10.000049, 4654, 4654, 0
370.000566, 9.999896, 5127, 5127, 0
380.00065, 10.000084, 5577, 5577, 0
390.000562, 9.999912, 2627, 2627, 0
400.00057, 10.000008, 3831, 3831, 0
410.000583, 10.000013, 4568, 4568, 0
420.000573, 9.99999, 5941, 5941, 0
430.0006, 10.000027, 6018, 6018, 0
440.000586, 9.999986, 5684, 5684, 0
450.000581, 9.999995, 5255, 5255, 0
460.000563, 9.999982, 4025, 4025, 0
470.000649, 10.000086, 6534, 6534, 0
