elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000047, 10.000047, 291, 20477, 162416.6, 128695, 330197, 769062, 1889448, 1889448, 0
20.000622, 10.000575, 333, 27263, 143990.6, 119733, 376163, 504358, 874596, 874596, 0
30.000624, 10.000002, 273, 23509, 161608.6, 140213, 351917, 498506, 771363, 771363, 0
40.000631, 10.000007, 295, 18419, 144564.6, 130829, 292053, 455090, 553199, 553199, 0
50.000624, 9.999993, 430, 14908, 111508.9, 86322, 257553, 395477, 681877, 681877, 0
60.000619, 9.999995, 603, 10540, 85165.1, 65688, 206546, 334297, 450902, 463282, 0
70.00062, 10.000001, 838, 9881, 67527.0, 51028, 154968, 323849, 709835, 1743864, 0
80.000619, 9.999999, 751, 8277, 122373.4, 41459, 388747, 1872239, 3272181, 5382857, 0
90.000634, 10.000015, 838, 9442, 114814.2, 45414, 311461, 2234299, 2461164, 4303210, 0
100.000639, 10.000005, 633, 6311, 157733.6, 42738, 820100, 2451208, 3981550, 6993457, 0
110.000617, 9.999978, 614, 6183, 154833.1, 39895, 367989, 3388005, 3879399, 4416659, 0
120.000635, 10.000018, 778, 7695, 142132.6, 42331, 309198, 2940305, 4460221, 4570041, 0
130.00064, 10.000005, 996, 8968, 77291.3, 43259, 163977, 1005629, 1729274, 2237408, 0
140.000621, 9.999981, 906, 7891, 80953.8, 44596, 227618, 866055, 1424306, 2128930, 0
150.000632, 10.000011, 489, 7507, 224719.9, 42263, 1607565, 3812513, 5133849, 5133849, 0
160.000625, 9.999993, 833, 7214, 114355.0, 43200, 425029, 1813816, 2512006, 2651426, 0
170.000628, 10.000003, 657, 7070, 78219.4, 41184, 153590, 1100248, 2458132, 2861205, 0
180.000627, 9.999999, 837, 6201, 185926.7, 39627, 382849, 6024338, 6625701, 6795582, 0
190.000621, 9.999994, 783, 7411, 132099.7, 40310, 282126, 3132047, 3775016, 4131381, 0
200.000739, 10.000118, 766, 7036, 90013.7, 45524, 202650, 1385280, 2315714, 2966551, 0
210.000619, 9.99988, 650, 5786, 157859.7, 43991, 496434, 3828942, 4427100, 4580465, 0
220.000642, 10.000023, 933, 8385, 76805.5, 48040, 217980, 753667, 893104, 1076488, 0
230.000623, 9.999981, 782, 8126, 89473.6, 43175, 222778, 1162885, 2182299, 3300256, 0
