elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000076, 10.000076, 8709, 4929, 16266.5, 14512, 26211, 41692, 262230, 503449, 0
20.000039, 9.999963, 8780, 4686, 16718.8, 14598, 25761, 52566, 294203, 318701, 0
30.000031, 9.999992, 7985, 3795, 16560.5, 14138, 24259, 67986, 294203, 334377, 0
40.00024, 10.000209, 6820, 3439, 17202.0, 13366, 23601, 50669, 903041, 3131228, 0
50.000213, 9.999973, 8554, 4379, 16540.6, 13919, 25684, 66586, 287864, 352223, 0
60.000221, 10.000008, 8531, 3737, 16329.5, 14237, 25699, 53054, 286859, 856185, 0
70.00022, 9.999999, 8704, 4484, 16314.9, 14467, 25175, 46590, 288894, 334083, 0
80.000212, 9.999992, 8520, 4311, 16216.4, 14352, 24987, 44377, 297066, 728088, 0
90.000207, 9.999995, 8666, 4311, 16232.4, 14343, 25307, 47507, 296967, 1162574, 0
100.00021, 10.000003, 8630, 3924, 16465.9, 14513, 25022, 47157, 291897, 697647, 0
110.000233, 10.000023, 7602, 3697, 15088.6, 12924, 22924, 33642, 376278, 1788346, 0
120.000196, 9.999963, 8651, 4247, 16206.9, 14191, 24585, 47850, 304627, 498091, 0
130.000215, 10.000019, 8465, 3912, 15827.4, 13918, 24572, 45931, 304756, 747619, 0
140.000217, 10.000002, 8584, 4166, 16483.9, 14348, 25684, 52088, 304590, 348005, 0
150.000203, 9.999986, 8715, 4149, 16439.3, 14554, 25191, 46441, 302489, 405903, 0
160.000209, 10.000006, 8595, 3968, 16433.4, 14130, 26691, 62374, 296694, 313104, 0
170.000216, 10.000007, 7636, 3473, 16022.4, 13463, 25488, 46724, 299740, 2658141, 0
180.000211, 9.999995, 8290, 3695, 15646.2, 13486, 25288, 64347, 273068, 347899, 0
190.000208, 9.999997, 7819, 3569, 15118.3, 12782, 22843, 73587, 264604, 1331846, 0
200.000203, 9.999995, 6508, 3259, 12462.2, 10198, 17934, 53623, 247670, 1741764, 0
210.000205, 10.000002, 3648, 3051, 10334.3, 9725, 17055, 22370, 80254, 99197, 0
220.000212, 10.000007, 2293, 3383, 9532.8, 9376, 13707, 16893, 24618, 35585, 0
223.87368, 3.873468, 552, 3383, 8744.4, 8637, 13025, 15554, 22070, 35585, 0
