elapsed, window, total, successful, failed
10.000076, 10.000076, 10140, 10140, 0
20.000039, 9.999963, 10259, 10259, 0
30.000031, 9.999992, 9295, 9295, 0
40.00024, 10.000209, 8011, 8011, 0
50.000213, 9.999973, 9985, 9985, 0
60.000221, 10.000008, 9923, 9923, 0
70.00022, 9.999999, 10184, 10184, 0
80.000212, 9.999992, 9933, 9933, 0
90.000207, 9.999995, 10143, 10143, 0
100.00021, 10.000003, 10091, 10091, 0
110.000233, 10.000023, 8872, 8872, 0
120.000196, 9.999963, 10187, 10187, 0
130.000215, 10.000019, 9864, 9864, 0
140.000217, 10.000002, 10092, 10092, 0
150.000203, 9.999986, 10125, 10125, 0
160.000209, 10.000006, 10036, 10036, 0
170.000216, 10.000007, 8880, 8880, 0
180.000211, 9.999995, 9753, 9753, 0
190.000208, 9.999997, 9066, 9066, 0
200.000203, 9.999995, 7591, 7591, 0
210.000205, 10.000002, 4263, 4263, 0
220.000212, 10.000007, 2660, 2660, 0
223.87368, 3.873468, 647, 647, 0
