elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000076, 10.000076, 1431, 14441, 40938.9, 36104, 66453, 107568, 513735, 528598, 0
20.000039, 9.999963, 1479, 12269, 36217.3, 33976, 55652, 84474, 283310, 339368, 0
30.000031, 9.999992, 1310, 10782, 46137.5, 35692, 90664, 290657, 1058456, 1087828, 0
40.00024, 10.000209, 1191, 11631, 67893.6, 33533, 68456, 1108945, 3169320, 3283308, 0
50.000213, 9.999973, 1431, 11059, 45820.5, 34709, 73874, 203765, 2409848, 3022112, 0
60.000221, 10.000008, 1392, 12216, 43299.1, 34363, 70527, 259168, 936738, 1005007, 0
70.00022, 9.999999, 1480, 13120, 39941.6, 34497, 61807, 154897, 433281, 771038, 0
80.000212, 9.999992, 1413, 10273, 37106.0, 34019, 57343, 102223, 294758, 344807, 0
90.000207, 9.999995, 1477, 10273, 43308.0, 34051, 66451, 165803, 1127407, 1184143, 0
100.00021, 10.000003, 1461, 13312, 38942.2, 33584, 57297, 111799, 680200, 836755, 0
110.000233, 10.000023, 1270, 11392, 68202.0, 31575, 72588, 1453804, 2275437, 2277326, 0
120.000196, 9.999963, 1536, 13236, 39914.3, 33608, 62006, 247571, 511184, 624916, 0
130.000215, 10.000019, 1399, 11673, 46443.4, 32998, 61549, 329931, 1446170, 1979214, 0
140.000217, 10.000002, 1508, 10961, 38324.3, 34429, 59882, 123275, 303589, 498270, 0
150.000203, 9.999986, 1410, 11053, 39888.9, 34402, 60212, 248093, 387656, 457717, 0
160.000209, 10.000006, 1441, 13392, 39815.7, 33478, 74724, 188457, 319161, 406220, 0
170.000216, 10.000007, 1244, 11244, 60547.4, 32849, 81908, 668689, 2850575, 3037494, 0
180.000211, 9.999995, 1463, 12558, 46667.9, 32161, 108315, 376556, 575715, 691649, 0
190.000208, 9.999997, 1247, 10067, 45277.7, 30602, 113546, 319717, 1225892, 1268665, 0
200.000203, 9.999995, 1083, 9664, 45617.7, 25909, 118097, 360422, 1709234, 1907564, 0
210.000205, 10.000002, 615, 8714, 28172.7, 22983, 44623, 113389, 274275, 1078815, 0
220.000212, 10.000007, 367, 10412, 22683.8, 21841, 30446, 38590, 130455, 130455, 0
223.87368, 3.873468, 95, 10161, 20831.8, 20781, 27544, 33671, 43185, 43185, 0
