elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000041, 10.000041, 10260, 5664, 19506.2, 17760, 31436, 50877, 127108, 289886, 0
20.001058, 10.001017, 9215, 5177, 21380.3, 16998, 29838, 60398, 660019, 978706, 0
30.000047, 9.998989, 3378, 4533, 46103.1, 14044, 40946, 1554883, 2805615, 3240961, 0
40.001117, 10.00107, 1882, 4217, 111438.4, 10583, 50837, 4381901, 7063931, 7908059, 0
50.000208, 9.999091, 3551, 4137, 45845.2, 10519, 30966, 916386, 5330001, 8706252, 0
60.000035, 9.999827, 2933, 4510, 89744.7, 11658, 42181, 2423957, 8706252, 10691560, 0
70.000063, 10.000028, 802, 4790, 91389.1, 13471, 233594, 2098173, 3431291, 3431343, 0
80.00004, 9.999977, 572, 4244, 564879.7, 10577, 3153443, 15348823, 17023645, 18188581, 0
90.000035, 9.999995, 2223, 4244, 115756.7, 10407, 87349, 4015896, 16463947, 18188581, 0
100.000036, 10.000001, 1089, 4297, 168640.1, 10544, 132089, 5655622, 10776788, 12271129, 0
110.000027, 9.999991, 2715, 4153, 87936.0, 11570, 108667, 3326927, 6319319, 9230161, 0
120.000047, 10.00002, 2404, 4107, 27840.4, 9208, 29877, 496475, 2329819, 6307803, 0
130.000066, 10.000019, 1159, 4243, 222957.6, 11049, 324906, 10326339, 12103770, 12255821, 0
140.000246, 10.00018, 2839, 4246, 98834.2, 12293, 158421, 1846782, 9802783, 10124030, 0
150.000038, 9.999792, 2844, 4193, 45276.2, 10990, 48775, 703025, 3663390, 7500867, 0
160.001047, 10.001009, 894, 4357, 252708.7, 9858, 126117, 7549882, 15253915, 15255947, 0
170.000097, 9.99905, 2471, 4342, 130928.0, 13776, 74681, 4402390, 9734360, 15255947, 0
180.000052, 9.999955, 3682, 4235, 68594.7, 12579, 66957, 2049193, 4781014, 9734360, 0
190.000057, 10.000005, 742, 4295, 165934.4, 9785, 151715, 4165915, 7957807, 8294286, 0
200.000035, 9.999978, 1558, 4016, 160552.8, 9906, 61128, 5531875, 14789961, 15078004, 0
210.000032, 9.999997, 2055, 4144, 72554.7, 11370, 105615, 2057734, 4867597, 5775345, 0
220.000122, 10.00009, 1435, 4183, 162258.0, 11223, 759627, 3402245, 9219205, 11013073, 0
230.000038, 9.999916, 2714, 4305, 82077.3, 12504, 86397, 2139771, 5444270, 10233601, 0
240.001054, 10.001016, 1575, 4002, 113480.8, 9857, 90239, 4249742, 12655665, 14228934, 0
250.001086, 10.000032, 2736, 4286, 82844.5, 13221, 85653, 754372, 12394494, 14228934, 0
260.000042, 9.998956, 963, 4800, 224760.7, 11289, 174212, 7519706, 15203401, 18745604, 0
270.000031, 9.999989, 1834, 4596, 141614.3, 11516, 174257, 5070901, 11043650, 14601460, 0
280.000029, 9.999998, 3278, 4408, 59428.3, 13953, 182751, 1197564, 2276203, 3377635, 0
290.000034, 10.000005, 3249, 4422, 56263.6, 13235, 137948, 1265100, 2742264, 5328456, 0
300.000101, 10.000067, 3225, 4408, 65549.5, 13471, 163174, 741237, 4909805, 7272891, 0
310.000111, 10.00001, 2355, 4594, 77557.4, 15034, 186763, 1683612, 5870033, 7361886, 0
320.000033, 9.999922, 2178, 4151, 95242.9, 11812, 137231, 2536705, 7380385, 9547209, 0
330.000073, 10.00004, 2739, 4217, 70775.6, 11388, 129132, 2174090, 4589242, 11219968, 0
340.000032, 9.999959, 3500, 4020, 56440.5, 11462, 94581, 1820207, 3913724, 4635591, 0
350.000041, 10.000009, 3659, 4535, 50344.9, 12018, 76385, 994316, 4772955, 5764659, 0
360.001042, 10.001001, 3065, 4241, 57995.2, 11781, 108512, 1014809, 4750021, 6428163, 0
370.00003, 9.998988, 2859, 4287, 82651.6, 11045, 112346, 2839288, 7611982, 10194849, 0
380.00003, 10.0, 3993, 4394, 51214.1, 12678, 103843, 1254350, 3844642, 4464759, 0
390.000033, 10.000003, 3608, 4402, 50989.1, 12307, 103373, 628715, 4102133, 5511163, 0
400.001033, 10.001, 3138, 4281, 52606.0, 11065, 94598, 1374461, 3748897, 5677048, 0
410.000069, 9.999036, 2266, 4140, 67360.2, 10197, 99355, 693162, 13546897, 14101587, 0
420.000034, 9.999965, 3864, 3997, 71485.9, 11527, 87100, 1375048, 11965238, 13749200, 0
430.000037, 10.000003, 3197, 4002, 36174.9, 9705, 49725, 858268, 2481597, 2538135, 0
440.000096, 10.000059, 4895, 4160, 58045.3, 12885, 41298, 566162, 8417022, 9682343, 0
450.00003, 9.999934, 2491, 4148, 74858.8, 10930, 73387, 1402609, 6142286, 8910422, 0
460.000034, 10.000004, 3548, 4525, 55741.9, 12141, 53523, 1038940, 5741586, 6943576, 0
470.000064, 10.00003, 2025, 4339, 84051.6, 11323, 91842, 2493805, 9307684, 9870090, 0
480.000045, 9.999981, 2837, 4403, 66170.8, 12684, 68967, 2024194, 3988739, 5262951, 0
490.000035, 9.99999, 2944, 4453, 56688.2, 11722, 67079, 1887813, 4531983, 4661365, 0
500.000036, 10.000001, 2524, 4705, 105156.0, 10442, 61940, 3826018, 13014586, 18912996, 0
510.000033, 9.999997, 3160, 4088, 54849.3, 10875, 88777, 1545905, 3953817, 5103890, 0
520.000033, 10.0, 1833, 4356, 101100.3, 12657, 117043, 1752793, 9839156, 12535190, 0
530.000034, 10.000001, 2507, 4231, 83109.3, 10161, 108655, 2510930, 6081415, 14103995, 0
540.000042, 10.000008, 2405, 4562, 88551.5, 12472, 64268, 2617333, 5913771, 5921968, 0
550.000041, 9.999999, 3249, 4224, 74223.8, 12697, 78224, 2060540, 5916555, 8264499, 0
560.000034, 9.999993, 2026, 4551, 111339.8, 11754, 130455, 4209590, 5940739, 8332061, 0
