elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000078, 10.000078, 2328, 3465, 56123.5, 35122, 165478, 338008, 529130, 583385, 0
20.000608, 10.00053, 2547, 3019, 55790.1, 37913, 144143, 312944, 593622, 713796, 0
30.000489, 9.999881, 2489, 2793, 55568.6, 37229, 151491, 337622, 606599, 1718315, 0
40.000506, 10.000017, 2085, 2715, 57116.8, 33195, 149408, 408224, 1024036, 2563446, 0
50.00048, 9.999974, 1515, 2022, 28987.8, 17099, 70789, 147331, 1309824, 1561704, 0
60.00048, 10.0, 1501, 1818, 53061.5, 16683, 82818, 248302, 809552, 19527293, 0
70.000482, 10.000002, 2211, 3048, 57823.0, 37300, 146089, 344731, 1303628, 1965015, 0
80.000496, 10.000014, 2386, 2497, 56231.6, 36538, 141533, 369012, 753132, 1417570, 0
90.000785, 10.000289, 2384, 3593, 56958.2, 38310, 156192, 316761, 521215, 717855, 0
100.000479, 9.999694, 1627, 2207, 59813.3, 25733, 127226, 303891, 3195994, 5486978, 0
110.000482, 10.000003, 1194, 2298, 25793.5, 15513, 60552, 160233, 568370, 1388846, 0
120.000489, 10.000007, 382, 1764, 45402.5, 14442, 55744, 195664, 8761227, 8761227, 0
130.00048, 9.999991, 2060, 2271, 54624.7, 29106, 130746, 421872, 1691902, 2434220, 0
140.0005, 10.00002, 2322, 2199, 57517.1, 31893, 138464, 367248, 2017980, 2587690, 0
150.000519, 10.000019, 2196, 2454, 53314.4, 34723, 143089, 314472, 913546, 929793, 0
160.000561, 10.000042, 998, 2311, 64431.1, 22797, 122673, 1593207, 1830128, 1952898, 0
170.000492, 9.999931, 1295, 2010, 87309.5, 30753, 137264, 502790, 7294055, 15442459, 0
180.000525, 10.000033, 1866, 2528, 50090.6, 28266, 111804, 415983, 1406676, 3648555, 0
190.000477, 9.999952, 1011, 2535, 30875.4, 19281, 72703, 288665, 395478, 416020, 0
200.000489, 10.000012, 1282, 2187, 28698.7, 18909, 69533, 225484, 348474, 445357, 0
210.000495, 10.000006, 1315, 1799, 57025.8, 18922, 83589, 307701, 1729100, 32342507, 0
220.000492, 9.999997, 1993, 2290, 53474.9, 29517, 134678, 335865, 2449183, 3022951, 0
230.000491, 9.999999, 2470, 3051, 52964.1, 34637, 136020, 327904, 576002, 1347678, 0
240.000561, 10.00007, 1536, 2122, 38425.1, 21432, 88177, 233267, 2283500, 2733997, 0
250.000493, 9.999932, 2110, 1861, 50287.6, 27221, 130761, 303062, 492249, 12020967, 0
260.000501, 10.000008, 2398, 2457, 52813.6, 33664, 139433, 308584, 961976, 1811902, 0
270.000482, 9.999981, 2568, 3023, 50812.8, 34708, 134445, 287054, 412607, 1084759, 0
280.00049, 10.000008, 2338, 2603, 50989.2, 34404, 130986, 275454, 506091, 3557815, 0
290.000473, 9.999983, 2028, 1895, 46505.3, 25655, 118588, 404159, 850852, 1269742, 0
300.000494, 10.000021, 2357, 1895, 51443.6, 32166, 134371, 296471, 400089, 6981171, 0
310.000475, 9.999981, 1227, 2240, 47501.1, 20776, 82366, 588532, 2991115, 3887716, 0
320.000477, 10.000002, 2010, 2275, 56014.5, 26426, 144571, 379013, 2337567, 12666015, 0
330.000494, 10.000017, 2367, 3368, 51030.1, 34662, 140952, 309598, 489859, 658274, 0
340.000491, 9.999997, 1573, 1899, 33304.8, 21821, 82818, 284368, 480853, 583698, 0
350.000499, 10.000008, 1716, 2777, 49730.0, 26003, 102666, 291717, 2487991, 12916742, 0
360.000689, 10.00019, 2206, 2988, 55171.8, 33735, 152963, 320337, 1269349, 1335900, 0
370.00056, 9.999871, 1256, 2378, 80116.7, 32645, 140395, 476281, 3994480, 4027213, 0
380.000523, 9.999963, 1212, 2329, 81820.0, 28002, 115950, 2336342, 10242687, 11765129, 0
390.000489, 9.999966, 1644, 3191, 60988.7, 32100, 132832, 303591, 4359391, 5400168, 0
400.000487, 9.999998, 1871, 2342, 39552.0, 25382, 107536, 268276, 486116, 1010278, 0
410.000499, 10.000012, 1359, 1759, 29081.7, 16931, 68884, 278930, 606722, 614415, 0
420.000481, 9.999982, 705, 2160, 42384.4, 18232, 62151, 202839, 4410474, 4446785, 0
430.000474, 9.999993, 961, 2550, 66975.8, 20032, 90576, 297767, 4239004, 5235511, 0
440.000487, 10.000013, 1558, 2527, 32573.5, 20151, 71717, 191944, 1281210, 1387005, 0
450.000482, 9.999995, 1609, 2161, 54813.2, 23439, 103943, 428193, 2384299, 16296310, 0
460.001943, 10.001461, 1217, 2236, 63527.1, 26318, 127182, 1386622, 3640216, 3698538, 0
470.000485, 9.998542, 2106, 2783, 61564.3, 34002, 142734, 348854, 2555485, 3762133, 0
480.000522, 10.000037, 681, 2670, 45513.9, 27938, 130845, 337847, 520231, 526815, 0
490.000492, 9.99997, 1270, 2503, 104326.9, 24559, 108560, 640761, 16824062, 17097195, 0
500.000488, 9.999996, 1915, 2563, 54643.8, 28683, 123626, 352350, 5062489, 5236487, 0
510.000482, 9.999994, 2407, 3906, 54741.1, 35140, 144459, 332003, 764938, 1481388, 0
520.000534, 10.000052, 2114, 3796, 54765.2, 35546, 141948, 330484, 1046650, 1233474, 0
530.000481, 9.999947, 1823, 2646, 47933.3, 29277, 114980, 316654, 1666854, 2990789, 0
540.000501, 10.00002, 997, 2908, 70671.3, 24072, 123696, 1251704, 3907513, 3952725, 0
550.000481, 9.99998, 1200, 2054, 27812.2, 16201, 77970, 234305, 396281, 755680, 0
560.000472, 9.999991, 1230, 2156, 27191.8, 16277, 76168, 180733, 324411, 353366, 0
570.000525, 10.000053, 1284, 2172, 62279.1, 25698, 203456, 568650, 3439892, 3593728, 0
580.000561, 10.000036, 673, 2382, 110391.5, 18827, 119406, 4239715, 4333477, 4350554, 0
590.000496, 9.999935, 1226, 2138, 46607.6, 16984, 90903, 242901, 299490, 21614994, 0
600.000499, 10.000003, 1374, 2058, 71025.7, 30494, 152101, 1188498, 3337955, 3493214, 0
610.000537, 10.000038, 1420, 2455, 64322.2, 29929, 139263, 372598, 2061138, 11626130, 0
620.000514, 9.999977, 1371, 2779, 58468.2, 38334, 166622, 348961, 820244, 892594, 0
630.000483, 9.999969, 1443, 2725, 83167.6, 26578, 107436, 1991726, 4867634, 4877555, 0
640.000483, 10.0, 2418, 2725, 55871.6, 36632, 140842, 352113, 852291, 2402819, 0
650.000482, 9.999999, 1709, 2547, 52502.9, 31706, 134615, 303292, 1062732, 3645683, 0
660.0005, 10.000018, 66, 5577, 1837603.4, 35803, 12605922, 12648378, 12653252, 12653252, 0
670.000485, 9.999985, 1642, 2385, 139338.0, 23121, 115454, 1145688, 12653252, 21361500, 0
680.000484, 9.999999, 877, 3261, 70780.3, 31582, 141615, 1547051, 2068188, 2087784, 0
690.000498, 10.000014, 2219, 3140, 71947.0, 31161, 126166, 355639, 5117669, 8440350, 0
700.000483, 9.999985, 1950, 2361, 51417.5, 26473, 114297, 327998, 5598343, 6884503, 0
